Rock Name,Rock Types,Chemical Formula,Rock Color,Vitreous,Crystal Forms,Cleavage,Representative Photo,What this rock can tell us?
Basalt,Igneous rock,"SiO2, Al2O3, CaO, MgO","Grey, Black.",,-,-,https://www.mindat.org/gm/48492,"Basalt is the most common rock on the Earth's surface. The samples are black in color and the air is dark green or brown. Basalt is rich in iron and magnesium and consists mainly of olivine, pyroxene and plagioclase. Most specimens are compact, fine-grained and vitreous. They can also be porphyritic with olivine, augite or plagioclase phenocrysts. The holes left by the gas bubbles can give the basalt a coarse porous texture."
Pegmatite,Igneous rock,"NaAlSi3O8, (K, Na)AlSi3O8, SiO2",-,,-,-,https://www.mindat.org/gm/50315,"An extremely coarse-grained igneous rock with border crystals, often found as irregular cloth, lenses or veins, ESP. In the margins of Batholiths. Most grain diameters are 1 cm or more. Although pegmatites with similar gross compositions to other rock types are known, their composition is usually granitic; The composition can be simple or complex and contain rare minerals rich in elements such as lithium, boron, fluorine, niobium, tantalum, uranium and rare earths. Pegmatites contain high concentrations of minerals that will crystallize the last and most watery portion of a magma and therefore contain high concentrations found only in trace amounts in granitic rocks."
,,,,,,,,
Limestone,Sedimentary rock,"CaCO3 , MgCO3",-,,-,None observed,https://www.mindat.org/gm/49160,-
Sandstone,Sedimentary rock,CaCO3,"Yellow, White, Grey",,-,-,https://www.mindat.org/gm/49438,"Sandstone is a clastic sedimentary rock composed primarily of sand-sized (0.0625 to 2 mm) silicate grains. Most sandstones are composed of quartz or feldspar (both silicates) because they are the most weather resistant minerals on Earth's surface. Rock formations composed mainly of sandstone often allow water and other liquids to seep in and are porous enough to store large quantities, making them valuable aquifers and oil reservoirs. The probability of finding fossils is high."
Mudrock / mudstone,Sedimentary rock,-,"Grey, Yellow, Red, White ",,-,-,https://zh.mindat.org/gm/49442,"Mudstone is an extremely fine-grained sedimentary rock composed of a mixture of clay and silt-sized particles. Terms such as claystone and siltstone are often used in place of mudstone, but they refer to rocks whose grain size falls into much narrower ranges, and on closer inspection they are often technically mudstone. It contains many fossils."
Conglomerate,Sedimentary rock,"SiO2, Fe2O3, CaCO3","Black, White, Grey, Brown, Red, Green, Blue",,-,-,https://www.mindat.org/gm/49436,
Chert ,Sedimentary rock,SiO2,-,"Waxy, Dull",-,None observed,https://www.mindat.org/gm/994,
Shale,Sedimentary rock,"FeS2, Na2Ca2(CO3)3","Gray, White, Black, Brown",,-,-,https://www.mindat.org/gm/49444,"Fine-grained clastic sedimentary rock formed by the consolidation (especially by compression) of clay, silt or mud."
"Tasmanite
",Sedimentary rock,"MgSO4 , 7H2O","Red, Brown, Black, Gray",,-,-,https://www.mindat.org/gm/31605,Tasmanite is an amber-colored organic material obtained from the burial of the prasinophil alga Tasmanites punctatus.
Siltstone,Sedimentary rock,"SiO2, Al2O3, CaO, MgO, Fe2O3",Amber,,-,-,https://www.mindat.org/gm/49448,Siltstone is a clastic sedimentary rock composed of grains that are between sandstone and mudstone in size. It can be found in different colors and textures in different environmental conditions. Siltstone is generally red and gray in color and has flat bedding planes. Darker siltstone contains plant fossils and other carbon-rich materials. It is tough and durable and does not break into fine particles or layers easily.
Chalk,Sedimentary rock,CaCO3,Bown,,-,-,https://www.mindat.org/photo-1044206.html,"Chalk is a non-clastic carbonate sedimentary rock in the form of limestone composed of the mineral calcite. It is soft, fine-grained and easily pulverized. It is a type of limestone rock that varies in color from white to gray. It consists of the shells of very small marine organisms such as foraminifers, coccoliths and rhabdolids."
Coal,Sedimentary rock,C,White,,-,-,https://www.mindat.org/gm/9353,"Coal is a non-clastic sedimentary rock. They are fossilized remains of plants and are in flammable black and brownish-black tones. Its main element is carbon, but it can also contain other elements such as hydrogen, sulfur and oxygen."
Lignite,Sedimentary rock,C,"Black, Brown",,-,-,https://www.mindat.org/gm/9354,"Lignite, often called brown coal, is a soft, brown, combustible, sedimentary rock that is naturally composed of compacted peat. It has a carbon content of around 25-35%. Lignite begins as an accumulation of partially rotted plant material or peat. Peat accumulates most easily in areas where there is ample moisture, where the land surface is slowly sinking, and where there is no degradation by rivers or oceans."
Ooid-limestone,Sedimentary rock,"CaCO3, SiO2",Brown,"Vitreous, Dull",-,-,https://www.mindat.org/gm/51153,An even-textured limestone composed almost entirely of relatively uniform calcareous ooliths (ooids) and containing almost no interstitial material. It is a locally important oil reservoir
Coprolite,Sedimentary rock,-,"White, grey, Brown, Yellow, Red, Blueish, Black",,-,-,https://www.mindat.org/gm/9450,"Fossil excrement of fish, reptiles and mammals. Coprolites are composed largely of calcium phosphate."
,,,,,,,,
Marble,Metamorphic rock,CaCO3 ,White,Sparkl,-,Curved,https://www.mindat.org/photo-1068412.html,Way to distinguish marble from quartzite is with a drop of dilute hydrochloric acid. Marble will effervesce (fizz) if it is made of calcite.
Gneiss,Metamorphic rock,-,-,Dull,-,Poor,https://www.google.com/url?sa=i&url=https%3A%2F%2Fgeology.com%2Frocks%2Fschist.shtml&psig=AOvVaw1I_HCY37RVXpsiCHvL-ubi&ust=1644016287116000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCIi2mZHU5PUCFQAAAAAdAAAAABAD,-
Schist,Metamorphic rock,-,"Gold, Gray",Shinny,Plated,Flexible layers,https://www.mindat.org/gm/48640,-
Slate,Metamorphic rock,-,"Gray, Green, Red, Black, Purple, Brown",Dull,-,Smooth,https://www.mindat.org/photo-1126582.html,-
Quartzite,Metamorphic rock,	SiO2,"Grey, White, Beige, Pink, Yellow, Blue, Purple, Orange, Brown",Vitreous,-,Indiscernible,https://www.mindat.org/gm/51087,Pure quartzites are a source of silica for metallurgical purposes and for the production of silica bricks.
Amphibolite,Metamorphic rock,Mg7Si8O22(OH)2,-,Vitreous,Tetrahedral,-,https://www.mindat.org/gm/48627,-
Mica Schist,Metamorphic rock,"KAl2(AlSi3O10)(F,OH)2","Gold, Gray",Shiny,"Parallel-banded, Foliated structure",Flat ,https://www.mindat.org/gm/48645,-
Hornfels,Metamorphic rock,-,"Black, Gray, Brown, Red, Green",Shiny,-,Perfect,https://www.mindat.org/photo-779792.html,-
Serpentinite,Metamorphic rock,"(Mg,Fe,Ni, Mn,Zn)2-3(Si,Al,Fe)2O5(OH)4",Green ,"Waxy, Dull",-,Irregular,https://www.mindat.org/gm/48762,-
Phyllite,Metamorphic rock,-,"Black, Grey, Green",Phyllitic,-,Crenulation and Pervasive,https://www.mindat.org/gm/50064,"The essential mineral ingredients of phyllites are microcrystalline quartz, fine-grained micas (sericite, muscovite), and chlorite"
Lechatelierite,Metamorphic rock,SiO2,-,,Amorphous,-,https://www.mindat.org/gm/2363,-
Migmatite Rock,Metamorphic rock,-,"Black, Bluish, Brown, Brown, Dark Greenish, Dark Grey, Black",Subvitreous,-,Poor,https://www.mindat.org/gm/50045,-
Eclogite Rock,Metamorphic rock,-,"Black, Brown, Colourless, Green, Grey, Pink, White","Subviteorus, Dull",-,Perfect,https://www.mindat.org/gm/48628,-
Mylonite Rock,Metamorphic rock,-,"Black, Grey",Shiny,-,-,https://www.mindat.org/gm/48668,-
